med_group,concept_id
ICS,41204916
ICS,41204919
ICS,41204920
ICS,41204921
ICS,41204922
ICS,41204959
ICS,41204966
ICS,41233451
ICS,41233475
ICS,41233785
ICS,41234235
ICS,41234381
ICS,41234967
ICS,41235366
ICS,41235384
ICS,41235843
ICS,41235844
ICS,41235845
ICS,41235846
ICS,41235848
ICS,41235849
ICS,41235850
ICS,41235851
ICS,41235888
ICS,41235891
ICS,41264561
ICS,41264564
ICS,41264565
ICS,41264566
ICS,41264567
ICS,41264646
ICS,41265202
ICS,41265802
ICS,41266755
ICS,41266756
ICS,41266757
ICS,41266758
ICS,41266759
ICS,41266762
ICS,41266800
ICS,41266802
ICS,41266806
ICS,41294123
ICS,41294126
ICS,41295343
ICS,41295356
ICS,41295647
ICS,41296115
ICS,41296387
ICS,41297754
ICS,41297755
ICS,41297757
ICS,41297758
ICS,41297793
ICS,42478834
ICS,42479884
ICS,42480011
ICS,42711068
ICS,42711128
ICS,42712430
ICS,42713496
ICS,42713703
ICS,42713713
ICS,42713714
ICS,42714988
ICS,42717808
ICS,42719120
ICS,42719121
ICS,42720476
ICS,42721557
ICS,42721763
ICS,42721821
ICS,42724273
ICS,42724457
ICS,42725745
ICS,42727157
ICS,42728443
ICS,42729720
ICS,43013737
ICS,43133391
ICS,43137551
ICS,43138473
ICS,43148463
ICS,43149377
ICS,43166412
ICS,43170568
ICS,43171519
ICS,43177448
ICS,43177631
ICS,43179663
ICS,43181578
ICS,43192301
ICS,43192796
ICS,43193456
ICS,43204880
ICS,43260360
ICS,43265787
ICS,43266611
ICS,43268664
ICS,43272232
ICS,43279543
ICS,43282161
ICS,43283024
ICS,43290378
ICS,43585303
ICS,43585305
ICS,43600504
ICS,43601895
ICS,43603092
ICS,43603367
ICS,43603416
ICS,43618523
ICS,43618525
ICS,43619887
ICS,43620052
ICS,43635892
ICS,43636053
ICS,43637996
ICS,43638002
ICS,43654697
ICS,43654698
ICS,43656087
ICS,43657550
ICS,43657551
ICS,43657601
ICS,43672814
ICS,43675686
ICS,43675688
ICS,43675747
ICS,43690648
ICS,43690657
ICS,43691877
ICS,43691981
ICS,43696691
ICS,43708516
ICS,43708520
ICS,43726451
ICS,43726452
ICS,43731493
ICS,43745810
ICS,43746004
ICS,43746838
ICS,43749424
ICS,43761670
ICS,43761817
ICS,43779715
ICS,43780458
ICS,43780466
ICS,43780468
ICS,43783377
ICS,43785316
ICS,43785319
ICS,43798400
ICS,43798413
ICS,43803257
ICS,43816440
ICS,43816450
ICS,43833899
ICS,43834658
ICS,43834659
ICS,43836223
ICS,43840712
ICS,43851825
ICS,44027703
ICS,44028529
ICS,44028530
ICS,44029196
ICS,44029198
ICS,44029199
ICS,44029294
ICS,44039346
ICS,44041506
ICS,44042202
ICS,44042206
ICS,44052418
ICS,44055280
ICS,44055281
ICS,44055282
ICS,44055283
ICS,44055284
ICS,44055286
ICS,44066735
ICS,44067679
ICS,44068254
ICS,44068255
ICS,44068257
ICS,44068258
ICS,44068259
ICS,44079429
ICS,44079430
ICS,44079431
ICS,44080269
ICS,44080344
ICS,44080888
ICS,44080953
ICS,44092431
ICS,44092432
ICS,44093941
ICS,44093944
ICS,44093948
ICS,44093949
ICS,44104078
ICS,44105354
ICS,44106161
ICS,44106225
ICS,44106227
ICS,44106830
ICS,44106832
ICS,44106833
ICS,44106835
ICS,44106837
ICS,44106839
ICS,44106909
ICS,44118297
ICS,44118298
ICS,44119242
ICS,44119845
ICS,44119847
ICS,44171938
ICS,44175642
ICS,44179498
ICS,44183220
ICS,44183222
ICS,44507749
ICS,45892424
ICS,46221671
ICS,46234379
ICS,46234381
ICS,46287602
ICS,46287627
ICS,1592201
ICS,1592205
ICS,1592230
ICS,1592701
ICS,1594239
ICS,1594363
ICS,1594426
ICS,1594498
ICS,19074604
ICS,36212003
ICS,36212005
ICS,36212008
ICS,36212123
ICS,36212124
ICS,36212127
ICS,36212137
ICS,36212138
ICS,36212144
ICS,36212156
ICS,36212159
ICS,36212288
ICS,36212864
ICS,36213521
ICS,36213686
ICS,36215515
ICS,36215516
ICS,36216765
ICS,36217556
ICS,36217840
ICS,36218674
ICS,36219413
ICS,36219416
ICS,36219417
ICS,36220588
ICS,36220589
ICS,36223173
ICS,36223381
ICS,36223384
ICS,36227374
ICS,36227516
ICS,36227691
ICS,36227701
ICS,36227710
ICS,36228062
ICS,36228144
ICS,36228158
ICS,36230209
ICS,36230491
ICS,36230674
ICS,36231068
ICS,36231341
ICS,36231342
ICS,36231575
ICS,36231605
ICS,36231946
ICS,36233623
ICS,36233625
ICS,36233626
ICS,36233801
ICS,36233968
ICS,36234053
ICS,36234390
ICS,36234402
ICS,36234484
ICS,36234485
ICS,36234672
ICS,36234675
ICS,36234739
ICS,36234744
ICS,36235174
ICS,36235175
ICS,36236020
ICS,36236207
ICS,36236669
ICS,36236772
ICS,36236773
ICS,36236779
ICS,36237066
ICS,36237086
ICS,36237705
ICS,36238465
ICS,36238500
ICS,36238648
ICS,36238664
ICS,36239134
ICS,36239366
ICS,36239373
ICS,36239528
ICS,36239814
ICS,36239832
ICS,36239833
ICS,36239837
ICS,36239838
ICS,36239839
ICS,36240334
ICS,36241514
ICS,36241516
ICS,36242245
ICS,36242478
ICS,36242680
ICS,36242863
ICS,36246161
ICS,36246165
ICS,36246233
ICS,36246234
ICS,36247270
ICS,36247768
ICS,36247923
ICS,36247944
ICS,36248085
ICS,36248329
